words,count,action
expensive,29,
experienced,60,
experimental,405,
experiments,435,
expert,18,
explain,225,x
explanation,19,
explants,19,
explicit,14,
explicitly,13,
exploitation,25,
exploratory,23,
explored,261,
exponent,12,
exponential,25,
export,14,
exposed,227,
exposure,237,
expression,585,x
expulsion,10,
extended,78,
extensive,108,
extent,109,
external,55,
extinction,22,
extra,23,
extracellular,75,
extract,462,x
extreme,62,
exudates,12,
eye,42,
eye_movement,19,
fabaceae,13,
face,85,
facial,12,
facilitate,94,
facilities,18,
fact,77,
factorial,51,
factorial_arrangement,20,
factors,761,
faecal,11,
faeces,14,
failed,38,
failure,42,
fall,29,
false,14,
family,216,
far,66,
farmers,20,
farms,93,
farrowing,16,
fashion,13,
fast,83,x
faster,51,
fat,129,
fatal,24,
fate,15,
fattening,15,
fatty,126,
fatty_acids,74,
fauna,22,
favorable,131,x
favoured,36,
feasibility,65,
features,187,
february,41,
fecal,28,
feces,18,
fecundity,17,
fed,186,
federal,26,
feed,216,
feedback,12,
feeder,13,
feedlot,16,
fejerskov,9,
felids,13,
fell,12,
female,345,
fermentation,295,
fern,26,
fertility,150,
ferulic,14,
fetal,50,
fever,10,
fewer,35,
fiber,84,
fibre,27,
fibrillation,9,
fibroblasts,29,
fibrolytic,10,
fibroma,12,
fibrosis,12,
fibrous,16,
ficifolia,12,
ficus,22,
field,199,
fifth,18,
fight,10,
figure,44,
figure_fulltext,23,
filamentous,55,
files,9,
filled,27,
films,29,
filter,42,
filtration,26,
fin,10,
finally,331,x
financial,10,
finasteride,28,
findings,442,x
fine,44,
fingerprinting,11,
finishing,33,
firmicutes,13,
firmness,23,
firstly,9,
fish,160,
fisher,15,
fisheries,36,
fitc,10,
fitted,109,
fixed,52,
flame,9,
flank,23,
flank_organs,16,
flasks,23,
flavonoids,50,
flavor,23,
flavour,11,
flexibility,19,
floating,9,
flood,13,
flora,23,
floral,38,
flores,11,
floristic,20,
flour,39,
flow,203,
flow_cytometry,56,
flowers,75,
fluctuations,40,
fluid,67,
fluidized,11,
fluidized_bed,10,
fluorescence,87,
fluoride,26,
fluorometric,11,
fluorosis,16,
flux,33,
fly,18,
fly_anastrepha,9,
foam,35,
focal,20,
focus,53,
focused,113,x
fodder,10,
fold,141,
foliage,11,
folk,13,
follicles,49,
follicular,35,
followed,615,x
food,328,
forage,58,
forced,85,
forced_swimming,26,
forest,125,
form,430,
formal,16,
formaldehyde,9,
formalin,22,
formation,271,
formula,17,
formulations,99,
forward,11,
foster,15,
foundation,44,
fourier,31,
fourier_transform,21,
fourteen,19,
fourth,33,
fractal,13,
fraction,255,
fracture,16,
fragments,105,
frame,18,
framework,53,
france,12,
francis,157,x
free,274,
freely,14,
freeze,26,
french,10,
frequency,260,
frequent,189,
fresh,93,
freshwater,30,
frey,10,
friendly,18,
frontal,23,
frozen,15,
fructose,21,
fruit,150,
fsh,20,
fst,25,
ftir,40,
fuel,26,
fuentes,12,
fulfill,10,
fulltext,29,
fully,69,x
functional,675,
fundamental,45,
funding,34,
funding_melinda,25,
fungal,106,fungi
fungi,106,fungi
fungicidal,10,
fungus,74,fungi
fur,15,
furthermore,209,x
fusarium,28,
fused,14,
fusion,15,
future,132,
